accuracy,loss,val_accuracy,val_loss,learning_rate
0.8473809361457825,0.4243503212928772,0.9359999895095825,0.16577023267745972,0.0010000000474974513
0.9586666822433472,0.12413494288921356,0.9733333587646484,0.08989769965410233,0.0010000000474974513
0.9778571724891663,0.07812350243330002,0.9831110835075378,0.06365539878606796,0.0010000000474974513
0.9815238118171692,0.05950002744793892,0.9862222075462341,0.05137651041150093,0.0010000000474974513
0.9842857122421265,0.05037323758006096,0.9831110835075378,0.046394217759370804,0.0010000000474974513
0.9852380752563477,0.04447178170084953,0.9888888597488403,0.0391896590590477,0.0010000000474974513
0.9865238070487976,0.03945280238986015,0.9906666874885559,0.03693229332566261,0.0010000000474974513
0.987333357334137,0.03740923851728439,0.9879999756813049,0.03654581680893898,0.0010000000474974513
0.9871904850006104,0.03489439934492111,0.9875555634498596,0.033149901777505875,0.0010000000474974513
0.9877142906188965,0.0328870564699173,0.9853333234786987,0.03605581447482109,0.0010000000474974513
